s/n,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
25,Mexico,-69.9,-72.7,-70.6,-72,-66.4,-69.3,-75.9,-80.6,-77.1,-70.7,-71.9,-74.8,-77.3,-83.3,-82.5,-76.9,-73.4,-61.5,-43.3,-41.8,-35.9,-29.4,-22.6,-20.3,-14.9,-1.6,9.5,26.5,28.6
26,Venezuela,-101.9,-117,-104.6,-127.2,-131.3,-144,-161,-179.1,-173.6,-156.7,-163.2,-153.4,-145,-125.1,-160.9,-174.5,-169.4,-139,-134.7,-133.8,-125.4,-130.7,-119.3,-120.4,-117.5,-121.8,-111,-93.4,-62.5
27,China,-35,-30.5,-23.2,-3.4,-14.2,-12.7,-11.8,7.4,3.1,14,27.9,1.1,19.4,40.1,94,100.2,136,167.1,186.4,278,345.1,401.3,467.4,504.6,509,488.9,559.2,620.3,693.8
28,India,31.6,35.1,42.1,44.8,45.9,53.4,61.1,67.4,74.5,87,91.4,91.6,96.8,99.8,108.8,121.5,135.5,148.9,163.1,191.6,204.7,217.7,242.1,258.8,297.3,308.7,314.6,329.7,346
29,Indonesia,-69,-78.9,-79.2,-75.2,-88.3,-83.6,-87.9,-86.7,-91,-93,-81.2,-81.9,-82.5,-88.6,-87.9,-99.7,-129.5,-135.1,-137.2,-151.4,-170.2,-220.8,-223.6,-238.3,-222.9,-199.6,-203,-194.8,-189.4
30,Japan,377.2,374.5,385,381.5,407.9,408.4,416.5,416.9,401.8,412.2,428.7,413.4,423.4,432.7,437.4,435.4,429.7,435,417.8,383.9,409,420.8,434.2,434.6,417.8,408,399.6,397,392.3
31,Malaysia,-25.9,-24.9,-24.9,-23,-24.4,-28.3,-30.8,-28.2,-30.7,-28.7,-27.4,-26.1,-27.2,-28.1,-28.8,-28.4,-25.3,-18.7,-17.9,-17.5,-14.1,-7.5,-8.3,-0.9,-1.2,-8.3,-7.1,-4.1,-2.1
32,South Korea,70.2,81.6,97.5,111.9,124.7,134.8,147.3,160.2,141.6,152.9,165.8,164.7,172.2,177.6,183.4,175.6,186,190.3,195.1,198.1,221,227.4,228.6,234.1,232.8,237,246.5,255.9,260.3
33,Taiwan,41.7,41.8,46.6,50.5,54.1,59.5,61.6,65.2,69.2,73.2,79.2,81.8,84,87.6,96.3,95.3,98.3,101.6,97.6,93,101.5,98.8,96.6,98,101.7,101.7,103.2,106.3,105.9
34,Thailand,17.8,18.1,20.9,24.7,28.1,32.1,36.6,34.4,29.8,32,32.1,34.8,38.8,42.9,48.9,47.9,47.9,48.9,47.6,48.1,51.5,52.3,55.2,58.5,59.6,64.9,65.8,75.1,77.7
35,Australia,-63.4,-78.7,-81.8,-83.3,-82.3,-88,-88.9,-102,-111.6,-109.8,-127.1,-133.7,-139.6,-138.7,-141.8,-148.7,-146.1,-155.4,-155.9,-162.5,-185.9,-179.7,-186.7,-210.5,-235,-249.6,-259.7,-267.7,-289.4
36,New Zealand,2.1,1.9,2,2,2.8,3.1,2.8,2.7,3.4,3.4,3.4,3.3,3.7,4.4,5.3,4.9,4.8,4.3,2.9,3.5,2.9,3.4,3.7,4.6,4.6,4.9,5.8,6,6.8
37,Algeria,-77.3,-78.5,-79.6,-80,-76.8,-82,-88.6,-97.1,-101.6,-109.5,-115,-109.9,-113.3,-123.6,-126.2,-133.7,-129.6,-127.5,-123.6,-111.6,-109.4,-103.3,-97.1,-89.2,-89.7,-88.8,-98.9,-96.5,-91.5
38,Egypt,-20.8,-20.8,-22.9,-23.5,-23.3,-22,-18,-15.4,-13.1,-13.8,-9.7,-8.5,-9.4,-9.8,-6.3,-14.2,-14,-13.8,-15.6,-12.8,-11.6,-7.7,-3.7,0.6,6.6,10.5,19.3,16.7,10.5
39,Nigeria,-79.4,-82.4,-85.2,-86.5,-89.2,-90.8,-100.2,-108.4,-97.5,-99.6,-110.1,-115.5,-99,-115.8,-130.6,-127.9,-126.6,-128,-116.9,-114.6,-126.2,-119.2,-126.7,-105.8,-107,-110.6,-88.3,-93.5,-101.3
40,South Africa,-21.9,-21.7,-23.8,-26.4,-27,-27.6,-26,-30.2,-24,-30.7,-31.8,-34.2,-35.4,-31.3,-27.3,-30.2,-26.8,-18.9,-11.1,-3.3,-18.3,-15.8,-23.5,-24.2,-18.1,-21.9,-18.1,-21.2,-18.7
41,Iran,-117.6,-122.6,-133,-139.6,-133.4,-135.2,-136.3,-127.2,-128.5,-122.5,-130.2,-116.3,-116.9,-136.7,-136,-138.5,-138.8,-141.9,-131.1,-123.4,-131,-134.5,-80.4,-74.6,-75.3,-82.6,-140.7,-159.2,-150.5
42,Kuwait,-41.3,-7.6,-50.5,-93.9,-98.6,-99.2,-99.7,-99.3,-99.4,-88.7,-95.1,-91.4,-79.7,-98.1,-106.9,-118.4,-123,-118.4,-122.3,-97.5,-101.7,-121.9,-137.5,-135.1,-133.4,-133.3,-137.4,-125.7,-133.1
43,Saudi Arabia,-307,-391.9,-395.8,-387.5,-373.9,-376,-375.1,-374.5,-383,-344.9,-373.9,-359.6,-315.5,-388.9,-421.1,-444.3,-427.2,-401.6,-413.6,-354,-349,-404.6,-424.5,-418.7,-407.1,-423.1,-446.9,-430.6,-459.3
44,United Arab Emirates,-80.5,-91.2,-99.1,-95,-93.7,-95.6,-97.2,-102.6,-105.2,-96.9,-109.9,-103.1,-97.2,-110.5,-114,-116.2,-122.9,-115.5,-107.6,-91.9,-99.8,-119.4,-122,-126.1,-120.5,-129.9,-136.9,-133.3,-130.5
